Title,Publisher,Published,Downloads,Pages,Category
Ethics of the Abyss,Denys Spirin,Apr-26,0,113,Philosophy
The Black Flame: A Philosophy of Acausality,Denys Spirin,Mar-26,0,172,Philosophy
21 levels of Self-Deception: THIRD EDITION,Tom Wallace,Mar-26,3,206,Philosophy
Conatus: THIRD EDITION,Tom Wallace,Mar-26,2,235,Philosophy
Conatus: REVISED EDITION,Tom Wallace,Feb-26,3,297,Philosophy
Treatise on Ontology,Denys Spirin,Jul-25,27,105,Philosophy
Life In A Nutshell,Michael McNaught,Jul-25,41,55,Philosophy
Synchronic Theistic Monism,"Michael Perel, M.D.",Jun-25,6,190,Philosophy
"Ontology of Differentiation: Being, Consciousness, and the Game",Denys Spirin,Jun-25,18,380,Philosophy
Truth HQ,Tom Wallace,Jun-25,6,95,Philosophy
DYNAMISM THE KINGDOM OF HEAVEN,GEORGE MARTIN WILLIAMS,Jun-25,24,197,Philosophy
Tales From a Distant Shore: THIRD EDITION,Tom Wallace,Dec-24,26,90,Philosophy
Selected Articles: Metaphysics and Theology,John Roland Stahl,Jun-24,57,178,Philosophy
One Planet Makeover,John Roland Stahl,Jun-24,24,477,Philosophy
Veritas,Lost Herald,Mar-24,22,253,Philosophy
Stylish Transient: A Novel,DJ Rankin,Mar-24,32,218,Philosophy
Rainbow Rock,Fractalosopher,Jul-23,77,127,Philosophy
Good Christian Philosophy To Live By,Adam J. Capps,May-23,144,101,Philosophy
"Star dust, we are all connected.",Dr Martinho Correia,May-23,77,137,Philosophy
The Mind This Enigma,Dr Martinho Correia,May-23,93,155,Philosophy
Musings of a Very Strange Man,Hunter Vaughan,Apr-23,60,44,Philosophy
Rediscovering Transcendence,Martin Euser,Apr-23,144,123,Philosophy
Sci-Fi Film Fiesta The Lost Last Volume 12: Speculations & Ruminations,Chris Christopoulos,Mar-23,17,73,Philosophy
My philosophical ideas 2,Antonio Pinto Renedo,Mar-23,29,83,Philosophy
Valid Views of God?,L.M. Leteane,Jan-23,92,72,Philosophy
A Infinidade,Adolfo F. Vaz,Sep-22,11,561,Philosophy
Twenty-One Levels of Self-Deception: Revised Edition,Tom Wallace,Jul-22,130,175,Philosophy
The Dance of Life,Havelock Ellis,Jul-21,287,382,Philosophy
Patriarchs and Prophets,Ellen G. White,May-21,152,521,Philosophy
Resonance with the Self,Martin Euser,May-21,820,124,Philosophy
Acquaintance with natural numberology,Wang Mo,Jan-21,229,35,Philosophy
100 Diamond Quotes,AiR-Atman in Ravi,Nov-20,383,132,Philosophy
A Pictorial Key to the Tarot,A.E. Waite,Oct-20,336,171,Philosophy
But We Pray,AiR-Atman in Ravi,Jul-20,348,168,Philosophy
FEAR,AiR-Atman in Ravi,Apr-20,867,246,Philosophy
The End Of Philosophy - Tales Of Reality,Jan Strepanov,Mar-20,1166,202,Philosophy
Human Being,Selvam Sivakumar,Mar-20,559,50,Philosophy
Atheden,Wendell Charles NeSmith,Feb-20,119,118,Philosophy
Unavoidable: a Hard Truth about Alien Encounters,John Erik Ege,Jan-20,277,106,Philosophy
Why Bad Things Can’t Happen To Good People!,AiR-Atman in Ravi,Nov-19,1045,117,Philosophy
"The Ultimate Goal of Life – MEN – Moksha, Enlightenment, Nirvana",AiR-Atman in Ravi,Nov-19,343,166,Philosophy
The arrival of the extraterrestrials,Antonio Pinto Renedo,Oct-19,213,32,Philosophy
The True Meaning of Yoga,AiR-Atman in Ravi,Oct-19,541,96,Philosophy
How God Created the Universe,W A Dunkley,Sep-19,368,58,Philosophy
The Great Awakening,Wendell Charles NeSmith,Sep-19,333,99,Philosophy
Living Neverland,Wendell Charles NeSmith,Sep-19,51,137,Philosophy
Ivory Heart,Wendell Charles NeSmith,Sep-19,44,94,Philosophy
"Success is Not Happiness, Happiness is Success",AiR-Atman in Ravi,Jul-19,1143,140,Philosophy
GOD = HAPPINESS,AiR-Atman in Ravi,Jul-19,212,137,Philosophy
Suffer No More,AiR-Atman in Ravi,Jun-19,330,142,Philosophy
Questions You Must Answer Before You Die,AiR-Atman in Ravi,Jun-19,1824,162,Philosophy
Be Happy In The Now,AiR-Atman in Ravi,Jun-19,516,50,Philosophy
The Fourth Factor,AiR-Atman in Ravi,May-19,468,50,Philosophy
Who Are You & Why Are You Here?,AiR-Atman in Ravi,Feb-19,345,145,Philosophy
The A to Z of Karma,AiR-Atman in Ravi,Jan-19,1148,167,Philosophy
Why the Monk laughted Part One,Natarajan Nagarethinam,Jan-19,148,28,Philosophy
Why the Monk Laughed - Part II,Natarajan Nagarethinam,Dec-18,119,44,Philosophy
"I am not I, Who am I?",AiR-Atman in Ravi,Dec-18,685,130,Philosophy
I Will Never Die,AiR-Atman in Ravi,Dec-18,210,99,Philosophy
The Mind is a Rascal,AiR-Atman in Ravi,Dec-18,156,102,Philosophy
