iter	RMSE
0	1.656847512
1	1.599263852
2	1.544203513
3	1.493460202
4	1.441293432
5	1.392300553
6	1.345458917
7	1.300966358
8	1.260322642
9	1.220741799
10	1.183793966
11	1.151065413
12	1.119291425
13	1.088389838
14	1.059129206
15	1.032412629
16	1.004380533
17	0.977763579
18	0.9518094124
19	0.9276278821
20	0.9065564098
21	0.8858023153
22	0.864202343
23	0.8455251878
24	0.8292287432
25	0.814646739
26	0.7981389534
27	0.7823340787
28	0.7707714775
29	0.7591050927
30	0.7489929464
31	0.7364601915
32	0.7259507362
33	0.7168557389
34	0.704470121
35	0.6950255039
36	0.6860895964
37	0.6781101312
38	0.6701756836
39	0.6631412429
40	0.6548982957
41	0.6473425598
42	0.6402879943
43	0.6341834427
44	0.6258911084
45	0.6196996345
46	0.6132760819
47	0.6079642621
48	0.6030897491
49	0.5972829493
50	0.5929921996
51	0.5878759687
52	0.5851532417
53	0.5820749092
54	0.5787370818
55	0.5756254408
56	0.5734018169
57	0.5701048696
58	0.5677545773
59	0.563560973
60	0.5594575234
61	0.5558698257
62	0.5531619939
63	0.5491428917
64	0.5463095636
65	0.5446041152
66	0.5425880836
67	0.5382794816
68	0.536294258
69	0.5339618752
70	0.5312676881
71	0.5297171523
72	0.5279161823
73	0.5267772105
74	0.5229419621
75	0.5206749133
76	0.519591124
77	0.5173566895
78	0.5157632077
79	0.5140434626
80	0.5122120278
81	0.5104893737
82	0.5098178209
83	0.508442396
84	0.5063646318
85	0.5036815726
86	0.5011200309
87	0.4982174612
88	0.4969442189
89	0.4956622043
90	0.4936892136
91	0.4925509645
92	0.4919553841
93	0.490359165
94	0.4893278721
95	0.4878811464
96	0.4862452871
97	0.485133193
98	0.4833283459
99	0.4823878034
100	0.480542114
101	0.4793953141
102	0.4786377086
103	0.4778136709
104	0.47628269
105	0.47521726
106	0.4741508256
107	0.4727117259
108	0.4710466858
109	0.4682588146
110	0.4674574564
111	0.4667355265
112	0.4658839523
113	0.4645524135
114	0.4638798466
115	0.4624483852
116	0.4615468895
117	0.4601112075
118	0.458261964
119	0.4569589567
120	0.4561128264
121	0.4549863159
122	0.4540681308
123	0.4520614733
124	0.4507293204
125	0.4502628264
126	0.4496542633
127	0.4490549072
128	0.4480528966
129	0.4472812573
130	0.4468772162
131	0.446308923
132	0.4447252695
133	0.4429454693
134	0.4414954361
135	0.440366298
136	0.4390266577
137	0.4381089982
138	0.4374412801
139	0.4368328634
140	0.4352989205
141	0.4347448246
142	0.4342454229
143	0.4330346186
144	0.4319909137
145	0.4311345083
146	0.4297338806
147	0.4291008932
148	0.4276777501
149	0.4271987904
150	0.4265912523
151	0.4258984987
152	0.425392708
153	0.4242285997
154	0.4229284041
155	0.4222278781
156	0.4217495433
157	0.420971973
158	0.4203147326
159	0.4196225433
160	0.4181241954
161	0.4176471491
162	0.4164057889
163	0.415163367
164	0.4146385023
165	0.4134322906
166	0.4122139638
167	0.4110005481
168	0.4098572386
169	0.40882236
170	0.407740882
171	0.4061079137
172	0.4052937718
173	0.4042407604
174	0.4030119428
175	0.4024083355
176	0.4020484056
177	0.400938427
178	0.4002490494
179	0.3990190088
180	0.3979687577
181	0.3972856278
182	0.3958854388
183	0.3949164196
184	0.394344904
185	0.3938672478
186	0.3935628406
187	0.3922769539
188	0.3918308814
189	0.3906005804
190	0.390188672
191	0.3897587483
192	0.3888829438
193	0.388637909
194	0.3881588738
195	0.387865637
196	0.3869309886
197	0.3860716238
198	0.3856469015
199	0.3847214848
200	0.3838657756
201	0.3833978988
202	0.3823559293
203	0.3820040191
204	0.381048386
205	0.3799444139
206	0.3792389777
207	0.3786521174
208	0.3781316469
209	0.3771090834
210	0.3766202945
211	0.3758044179
212	0.3749801564
213	0.3743784437
214	0.3740014413
215	0.3736568387
216	0.3731379965
217	0.3724590947
218	0.371945246
219	0.3715364185
220	0.3707505389
221	0.3698139622
222	0.3690868465
223	0.3682578144
224	0.3672608095
225	0.3669002407
226	0.3662309896
227	0.3657629674
228	0.3650746984
229	0.3648160401
230	0.3637196192
231	0.3626964552
232	0.3617551641
233	0.3613011426
234	0.3606986268
235	0.360017292
236	0.3597826079
237	0.3595926633
238	0.3593651066
239	0.3583938387
240	0.3574173419
241	0.3566154348
242	0.3559920789
243	0.3555714883
244	0.3553546961
245	0.3551393081
246	0.3543854641
247	0.3539688515
248	0.353193217
249	0.3526946844
250	0.351981344
251	0.3510928296
252	0.3505995084
253	0.3501180286
254	0.3492317361
255	0.3487453942
256	0.3481917035
257	0.347798071
258	0.3476206091
259	0.3471631033
260	0.3465641327
261	0.3463573758
262	0.3461564761
263	0.3453438352
264	0.3448308933
265	0.3446181476
266	0.3438299041
267	0.343392817
268	0.3425813894
269	0.3421686498
270	0.3419944693
271	0.341711571
272	0.341530537
273	0.3411222819
274	0.3407588754
275	0.340276654
276	0.3398058903
277	0.3392914677
278	0.3389274058
279	0.3382146527
280	0.3380223358
281	0.3378743381
282	0.337731085
283	0.3375472554
284	0.3373678414
285	0.3366869136
286	0.3363856296
287	0.3357221578
288	0.3355462698
289	0.3353881602
290	0.3352063449
291	0.3345170213
292	0.3340455523
293	0.3339070964
294	0.3336616741
295	0.3331522072
296	0.3327966464
297	0.332217242
298	0.3318295963
299	0.3315759662
